"","ArticleDate","Title","Author","URL","Source","Shares_Fb","Shares_li"
"1",2016-01-04,"Amaysim buys Vaya in $70m deal","Ruth Liew","http://www.smh.com.au/business/amaysim-buys-vaya-in-70m-deal-20160104-glyrdv.html","Sydney Morning Herald",33,90
"2",2015-10-12,"Amaysim chief leaves 'hairy goals' behind in chase for a million mobile customers","David Ramli","http://www.smh.com.au/business/amaysim-chief-leaves-hairy-goals-behind-in-chase-for-a-million-mobile-customers-20151012-gk24oy.html","Sydney Morning Herald",2,0
"3",2015-08-21,"Amaysim posts profit, lifts mobile subscribers","David Ramli","http://www.smh.com.au/business/amaysim-posts-profit-lifts-mobile-subscribers-20150821-gj4cuf.html","Sydney Morning Herald",0,0
"4",2015-07-15,"Flexibility key to Amaysim's appeal says Ogrin","David Ramli","http://www.smh.com.au/business/flexibility-key-to-amaysims-appeal-says-ogrin-20150715-gicsp4.html","Sydney Morning Herald",0,0
"5",2015-06-15,"Amaysim overvalued, say fund managers","David Ramli","http://www.smh.com.au/business/amaysim-overvalued-say-fund-managers-20150614-ghnk4x.html","Sydney Morning Herald",0,0
"6",2015-07-15,"Mobile reseller Amaysim's ASX debut opens little changed","David Ramli","http://www.smh.com.au/business/mobile-reseller-amaysims-asx-debut-opens-little-changed-20150715-giccit.html","Sydney Morning Herald",0,3
"7",2015-06-23,"Amaysim to list on ASX below analyst valuations ","David Ramli","http://www.smh.com.au/business/amaysim-to-list-on-asx-below-analyst-valuations-20150623-ghv8jk.html","Sydney Morning Herald",2,0
"8",2015-07-16,"Mobile service reseller Amaysim stays in positive territory","David Ramli","http://www.smh.com.au/business/retail/mobile-service-reseller-amaysim-stays-in-positive-territory-20150716-gie3l4.html","Sydney Morning Herald",0,0
"9",2014-07-01,"Amaysim appoints new managing director as it prepares for sale","NULL","http://www.smh.com.au/business/amaysim-appoints-new-managing-director-as-it-prepares-for-sale-20140701-zsrgi.html","Sydney Morning Herald",0,0
"10",2013-11-26,"Rival collapses turn Amaysim profitable","NULL","http://www.smh.com.au/small-business/smallbiz-tech/rival-collapses-turn-amaysim-profitable-20131126-2y6os.html","Sydney Morning Herald",0,1
"11",2016-01-27,"Why buying your mobile phone outright is cheaper than a plan","NULL","http://www.smh.com.au/money/saving/why-buying-your-mobile-phone-outright-is-cheaper-than-a-plan-20160121-gma67a.html","Sydney Morning Herald",33,0
"12",2016-01-04,"Banks fall on mortgage woes","NULL","http://www.smh.com.au/business/markets/banks-fall-on-mortgage-woes-20160104-glz40h.html","Sydney Morning Herald",5,5
"13",2016-01-04,"ASX slides as soft China data adds to worries","Jessica Sier","http://www.smh.com.au/business/markets/asx-slides-as-soft-china-data-adds-to-worries-20160104-glyzvg.html","Sydney Morning Herald",1,0
"14",2015-07-31,"Cheap no-frills mobile phone company is snatching customers from the big boys ","Elizabeth Knight","http://www.smh.com.au/business/comment-and-analysis/cheap-nofrills-mobile-phone-company-is-snatching-customers-from-the-big-boys-20150730-gio0a7.html","Sydney Morning Herald",4,1
"15",2015-10-19,"Coles and Kogan launch mobile services","David Ramli","http://www.smh.com.au/business/coles-and-kogan-launch-mobile-services-20151019-gkcgxi.html","Sydney Morning Herald",8,8
"16",2014-03-14,"Optus, Virgin Mobile suffer major mobile outage","NULL","http://www.smh.com.au/digital-life/mobiles/optus-virgin-mobile-suffer-major-mobile-outage-20140313-34prg.html","Sydney Morning Herald",77,3
"17",2015-11-13,"Phone and internet complaints fall at most providers","David Ramli","http://www.smh.com.au/business/phone-and-internet-complaints-fall-at-most-providers-20151113-gky2o7.html","Sydney Morning Herald",54,0
"18",2015-10-19,"Coles enters mobile phone market","David Ramli","http://www.smh.com.au/business/retail/coles-enters-mobile-phone-market-20151019-gkca73.html","Sydney Morning Herald",3,0
"19",2015-10-19,"Kogan Mobile lives again with Vodafone partnership","Hannah Francis","http://www.smh.com.au/digital-life/mobiles/kogan-mobile-lives-again-with-vodafone-partnership-20151019-gkck2c.html","Sydney Morning Herald",19,272
"20",2015-09-10,"Five household names that have outperformed on the ASX","Vanessa Desloires","http://www.smh.com.au/business/markets/five-household-names-that-have-outperformed-on-the-asx-20150910-gjj4hh.html","Sydney Morning Herald",2,0
"21",2012-07-11,"The Australian Media and Communications Authority has adopted a tougher new regulatory code for the telecommunications industry. It aims to make mobile plans easier to compare, reduce unexpectedlyâ€¦","NA","http://http://www.abc.net.au/news/2012-07-11/telcos-dodge-major-regulatory-overhaul/4123758","Australian Broadcasting Co",0,0
"22",2016-01-04,"Amaysim buys Vaya in $70m deal","Business | Ruth Liew","http://www.theage.com.au/business/amaysim-buys-vaya-in-70m-deal-20160104-glyrdv.html","The Age",0,0
"23",2015-10-06,"Amaysim chief leaves 'hairy goals' behind in chase for a million mobile customers","Business | David Ramli","http://www.theage.com.au/business/amaysim-chief-leaves-hairy-goals-behind-in-chase-for-a-million-mobile-customers-20151012-gk24oy.html","The Age",0,0
"24",2015-08-21,"Amaysim posts profit, lifts mobile subscribers","Business | David Ramli","http://www.theage.com.au/business/amaysim-posts-profit-lifts-mobile-subscribers-20150821-gj4cuf.html","The Age",0,0
"25",2015-07-15,"Flexibility key to Amaysim's appeal says Ogrin","Business | David Ramli","http://www.theage.com.au/business/flexibility-key-to-amaysims-appeal-says-ogrin-20150715-gicsp4.html","The Age",0,0
"26",2015-06-15,"Amaysim overvalued, say fund managers","Business | David Ramli","http://www.theage.com.au/business/amaysim-overvalued-say-fund-managers-20150614-ghnk4x.html","The Age",0,0
"27",2015-07-15,"Mobile reseller Amaysim's ASX debut opens little changed","Business | David Ramli","http://www.theage.com.au/business/mobile-reseller-amaysims-asx-debut-opens-little-changed-20150715-giccit.html","The Age",0,0
"28",2015-06-23,"Amaysim to list on ASX below analyst valuations","Business | David Ramli","http://www.theage.com.au/business/amaysim-to-list-on-asx-below-analyst-valuations-20150623-ghv8jk.html","The Age",0,0
"29",2015-07-16,"Mobile service reseller Amaysim stays in positive territory","Retail | David Ramli","http://www.theage.com.au/business/retail/mobile-service-reseller-amaysim-stays-in-positive-territory-20150716-gie3l4.html","The Age",0,0
"30",2014-06-30,"Amaysim appoints new managing director as it prepares for sale","Business | David Ramli","http://www.theage.com.au/business/amaysim-appoints-new-managing-director-as-it-prepares-for-sale-20140701-zsrgi.html","The Age",0,0
"31",2013-11-26,"Rival collapses turn Amaysim profitable","SmallBiz Tech,Small business | Michael Bailey","http://www.theage.com.au/small-business/smallbiz-tech/rival-collapses-turn-amaysim-profitable-20131126-2y6os.html","The Age",1,0
"32",2016-01-27,"Why buying your mobile phone outright is cheaper than a plan","Saving | Erin Turner","http://www.theage.com.au/money/saving/why-buying-your-mobile-phone-outright-is-cheaper-than-a-plan-20160121-gma67a.html","The Age",125,0
"33",2016-01-04,"Banks fall on mortgage woes","Markets | Jessica Sier","http://www.theage.com.au/business/markets/banks-fall-on-mortgage-woes-20160104-glz40h.html","The Age",0,0
"34",2016-01-04,"ASX slides as soft China data adds to worries","Markets | Jessica Sier","http://www.theage.com.au/business/markets/asx-slides-as-soft-china-data-adds-to-worries-20160104-glyzvg.html","The Age",0,0
"35",2015-07-31,"Cheap no-frills mobile phone company is snatching customers from the big boys","Comment & Analysis | Elizabeth Knight","http://www.theage.com.au/business/comment-and-analysis/cheap-nofrills-mobile-phone-company-is-snatching-customers-from-the-big-boys-20150730-gio0a7.html","The Age",0,0
"36",2015-10-19,"Coles and Kogan launch mobile services","Business | David Ramli","http://www.theage.com.au/business/coles-and-kogan-launch-mobile-services-20151019-gkcgxi.html","The Age",0,0
"37",2014-03-13,"Optus, Virgin Mobile suffer major mobile outage","biles,Technology News,Digital Life News | Ben Grubb, James W. Manning","http://www.theage.com.au/digital-life/mobiles/optus-virgin-mobile-suffer-major-mobile-outage-20140313-34prg.html","The Age",33,0
"38",2015-11-13,"Phone and internet complaints fall at most providers","Business | David Ramli","http://www.theage.com.au/business/phone-and-internet-complaints-fall-at-most-providers-20151113-gky2o7.html","The Age",46,0
"39",2015-10-19,"Coles enters mobile phone market","Retail | David Ramli","http://www.theage.com.au/business/retail/coles-enters-mobile-phone-market-20151019-gkca73.html","The Age",1,0
"40",2015-10-19,"Kogan Mobile lives again with Vodafone partnership","Mobiles,Technology News | Hannah Francis","http://www.theage.com.au/digital-life/mobiles/kogan-mobile-lives-again-with-vodafone-partnership-20151019-gkck2c.html","The Age",0,0
"41",2015-09-10,"Five household names that have outperformed on the ASX","Markets | Vanessa Desloires","http://www.theage.com.au/business/markets/five-household-names-that-have-outperformed-on-the-asx-20150910-gjj4hh.html","The Age",0,0
